Date,LSTM Forecast
2025-03-31,4.2112975
2025-04-30,4.111128
2025-05-31,4.032039
2025-06-30,3.9715986
2025-07-31,3.928067
2025-08-31,3.8995364
2025-09-30,3.8839707
2025-10-31,3.879478
2025-11-30,3.883601
2025-12-31,3.8940856
2026-01-31,3.909104
2026-02-28,3.9268873
