IPCONGD,CUMFNS,UEMPMEAN,UEMP27OV,CLAIMSx,USGOOD,CES1021000001,MANEMP,DMANEMP,NDMANEMP,USTRADE,M1SL,M2SL,M2REAL,TOTRESNS,CONSPI,S&P 500,S&P div yield,CP3Mx,TB3MS,TB6MS,GS1,COMPAPFFx,TB3SMFFM,TB6SMFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,CES2000000008,FEDFUNDS,date,fedfunds_lag1,fedfunds_lag2,fedfunds_lag3,fedfunds_lag9,fedfunds_lag10
66.705,84.2723,10.3,470,379250,25163,922.3,19531,12312,7219,10136.3,377.2,1434.8,1965.5,40.9,0.134744899,102.7,5.254790652,9.87,9.24,9.24,9.64,-0.6,-1.23,-1.23,-1.57,-1.52,-1.27,-0.18,8.73,10.47,1979-07-01,10.29,10.24,10.01,8.96,8.45
65.9692,82.9951,10.6,534,393750,25059,929.6,19406,12200,7206,10141.3,378.8,1446.6,1962.8,40.7,0.134764111,107.4,5.077588454,10.42,9.52,9.49,9.98,-0.52,-1.42,-1.45,-1.88,-1.91,-1.71,-0.59,8.77,10.94,1979-08-01,10.47,10.29,10.24,9.76,8.96
66.3243,82.8572,10.5,532,385800,25088,933.8,19442,12265,7177,10174.7,379.3,1454.1,1954.4,41.1,0.13493616,108.6,5.073664825,11.63,10.26,10.2,10.84,0.2,-1.17,-1.23,-2.02,-2.1,-1.99,-0.89,8.86,11.43,1979-09-01,10.94,10.47,10.29,10.03,9.76
66.5397,83.0737,10.5,530,402250,25038,939.3,19390,12192,7198,10229.6,380.8,1460.4,1942.0,42.3,0.135098789,104.5,5.31738756,13.23,11.7,11.66,12.44,-0.54,-2.07,-2.11,-3.14,-3.47,-3.64,-2.37,8.85,13.77,1979-10-01,11.43,10.94,10.47,10.07,10.03
66.3649,82.6126,10.6,551,413250,24947,942.1,19299,12117,7182,10270.0,380.8,1465.9,1928.8,43.0,0.134849182,103.7,5.40340405,13.57,11.79,11.82,12.39,0.39,-1.39,-1.36,-2.25,-2.53,-2.42,-1.19,8.93,13.18,1979-11-01,13.77,11.43,10.94,10.06,10.07
66.3913,82.6455,10.8,544,428200,24970,949.4,19301,12126,7175,10271.9,381.8,1473.7,1916.4,44.0,0.134533986,107.8,5.241187384,13.24,12.04,11.84,11.98,-0.54,-1.74,-1.94,-3.36,-3.39,-3.04,-1.72,8.98,13.78,1979-12-01,13.18,13.77,11.43,10.09,10.06
66.1569,82.8789,10.4,548,414250,24949,953.1,19282,12103,7179,10273.9,385.8,1482.7,1900.9,45.2,0.133732617,110.9,5.139765555,13.04,12.0,11.84,12.06,-0.78,-1.82,-1.98,-3.08,-3.02,-2.73,-1.4,8.88,13.82,1980-01-01,13.78,13.18,13.77,10.01,10.09
66.3416,82.6129,10.6,508,418000,24874,959.4,19219,12094,7125,10297.9,390.1,1494.6,1891.9,43.2,0.13389192,115.3,4.98699046,13.78,12.86,12.86,13.92,-0.35,-1.27,-1.27,-1.53,-1.72,-1.75,-0.56,9.06,14.13,1980-02-01,13.82,13.78,13.18,10.24,10.01
65.8297,81.74,11.0,622,433800,24818,965.5,19217,12093,7124,10303.5,388.4,1499.8,1872.4,43.1,0.132958071,104.7,5.539637058,16.81,15.2,15.03,15.82,-0.38,-1.99,-2.16,-3.72,-4.44,-4.23,-2.74,9.14,17.19,1980-03-01,14.13,13.82,13.78,10.29,10.24
64.7653,79.9156,11.4,691,529750,24507,974.7,18973,11874,7099,10240.4,383.8,1502.2,1856.9,44.9,0.131723892,103.0,5.676378641,15.78,13.2,12.88,13.3,-1.83,-4.41,-4.73,-5.77,-6.14,-5.57,-3.42,9.21,17.61,1980-04-01,17.19,14.13,13.82,10.47,10.29
63.401,77.4097,10.9,719,615800,24234,987.8,18726,11655,7071,10224.1,384.8,1512.3,1851.0,44.0,0.129938581,107.7,5.471987001,9.49,8.58,8.65,9.39,-1.49,-2.4,-2.33,-1.03,-0.8,0.01,2.19,9.27,10.98,1980-05-01,17.61,17.19,14.13,10.94,10.47
63.0352,76.0282,11.3,773,607000,23968,997.6,18490,11465,7025,10209.8,389.1,1529.2,1853.6,43.5,0.128049329,114.6,5.183246073,8.27,7.07,7.3,8.16,-1.2,-2.4,-2.17,-0.26,0.31,1.11,3.24,9.34,9.47,1980-06-01,10.98,17.61,17.19,11.43,10.94
63.0502,75.1189,11.8,884,559250,23698,983.2,18276,11317,6959,10199.6,394.0,1545.5,1871.1,42.9,0.126171099,119.8,4.994432387,8.41,8.06,8.06,8.65,-0.62,-0.97,-0.97,0.5,1.22,2.04,3.62,9.39,9.03,1980-07-01,9.47,10.98,17.61,13.77,11.43
63.2847,75.4695,12.4,930,528200,23860,980.7,18414,11401,7013,10218.6,399.2,1561.5,1876.8,40.4,0.124912388,123.5,4.879894737,9.57,9.13,9.41,10.24,-0.04,-0.48,-0.2,1.23,1.49,2.03,3.54,9.48,9.61,1980-08-01,9.03,9.47,10.98,13.18,13.77
63.9052,76.5621,12.9,966,482750,23931,997.2,18445,11442,7003,10231.3,404.8,1574.0,1876.0,41.2,0.123506205,126.5,4.798418972,10.97,10.27,10.57,11.52,0.1,-0.6,-0.3,0.75,0.64,1.15,2.83,9.53,10.87,1980-09-01,9.61,9.03,9.47,13.78,13.18
64.3642,77.7499,13.1,1060,438000,24012,1008.1,18506,11496,7010,10238.5,409.0,1584.8,1871.1,41.7,0.122085936,130.2,4.685099846,12.52,11.62,11.63,12.49,-0.29,-1.19,-1.18,-0.95,-1.06,-0.5,1.42,9.61,12.81,1980-10-01,10.87,9.61,9.03,13.82,13.78
64.65,78.9331,13.6,1133,412600,24123,1026.1,18601,11587,7014,10257.4,410.7,1595.8,1864.3,41.2,0.120937285,135.7,4.517317612,15.18,13.73,13.5,14.15,-0.67,-2.12,-2.35,-3.02,-3.17,-2.88,-1.21,9.69,15.85,1980-11-01,12.81,10.87,9.61,14.13,13.82
64.6704,79.0663,13.7,1147,410000,24182,1041.5,18640,11621,7019,10277.1,408.5,1599.8,1851.6,40.7,0.120139985,133.5,4.61423221,18.07,15.49,14.64,14.88,-0.83,-3.41,-4.26,-5.65,-6.06,-5.69,-3.76,9.75,18.9,1980-12-01,15.85,12.81,10.87,17.19,14.13
64.6711,78.5238,14.3,1263,413000,24152,1055.1,18639,11629,7010,10294.6,411.3,1606.9,1842.8,41.6,0.119618131,133.0,4.661654135,16.58,15.02,14.08,14.08,-2.5,-4.06,-5.0,-6.31,-6.51,-6.27,-4.05,9.84,19.08,1981-01-01,18.9,15.85,12.81,17.61,17.19
64.5393,77.9256,14.1,1245,428750,24118,1064.7,18613,11601,7012,10325.0,414.8,1618.7,1839.4,39.9,0.119310972,128.4,4.859813084,15.49,14.79,14.05,14.57,-0.44,-1.14,-1.88,-2.52,-2.74,-2.58,-0.56,9.89,15.93,1981-02-01,19.08,18.9,15.85,10.98,17.61
64.4942,77.9687,14.0,1217,407500,24203,1078.1,18647,11629,7018,10335.3,419.0,1636.6,1847.2,39.7,0.118864054,133.2,4.714714715,13.94,13.36,12.81,13.71,-0.76,-1.34,-1.89,-1.29,-1.58,-1.37,0.64,9.94,14.7,1981-03-01,15.93,19.08,18.9,9.47,10.98
64.6686,78.1977,13.9,1132,410250,24151,941.2,18711,11683,7028,10372.3,427.4,1659.2,1862.2,40.3,0.11902244,134.4,4.699903274,14.56,13.69,13.45,14.32,-1.16,-2.03,-2.27,-1.73,-2.04,-1.84,-0.16,9.99,15.72,1981-04-01,14.7,15.93,19.08,9.03,9.47
65.3141,78.3713,13.6,1149,416400,24148,953.7,18766,11718,7048,10386.2,424.7,1664.2,1855.3,40.5,0.118708199,131.7,4.824092635,17.56,16.3,15.29,16.2,-0.96,-2.22,-3.23,-3.89,-4.42,-4.2,-2.57,10.06,18.52,1981-05-01,15.72,14.7,15.93,9.61,9.03
64.8493,77.8094,13.7,1123,433000,24290,1107.4,18789,11733,7056,10397.5,425.2,1670.3,1845.6,40.4,0.117798059,132.3,4.829931973,16.32,14.73,14.09,14.86,-2.78,-4.37,-5.01,-5.15,-5.63,-5.35,-3.3,10.18,19.1,1981-06-01,18.52,15.72,14.7,10.87,9.61
65.3225,77.7628,13.8,1086,430750,24302,1136.0,18785,11720,7065,10405.6,426.9,1681.9,1838.1,41.0,0.115976561,129.1,4.983214562,17.0,14.95,14.74,15.72,-2.04,-4.09,-4.3,-4.25,-4.76,-4.66,-2.87,10.29,19.04,1981-07-01,19.1,18.52,15.72,12.81,10.87
65.3096,77.5446,14.4,1164,450200,24258,1151.9,18748,11696,7052,10412.7,426.9,1694.3,1837.6,41.0,0.114905429,129.6,4.997430556,17.23,15.51,15.52,16.72,-0.59,-2.31,-2.3,-2.26,-2.88,-2.93,-1.48,10.36,17.82,1981-08-01,19.04,19.1,18.52,15.85,12.81
64.8621,77.0783,13.6,1114,473250,24210,1162.2,18712,11668,7044,10407.0,427.0,1706.0,1832.4,40.6,0.115707177,118.3,5.511411665,16.09,14.7,14.92,16.52,0.22,-1.17,-0.95,0.06,-0.55,-0.38,1.05,10.42,15.87,1981-09-01,17.82,19.04,19.1,18.9,15.85
65.1629,76.1081,13.5,1134,492800,24051,1166.3,18566,11558,7008,10393.7,428.4,1721.8,1843.5,40.7,0.115789431,119.8,5.473013356,14.85,13.54,13.82,15.38,-0.23,-1.54,-1.26,0.33,0.07,0.32,2.03,10.52,15.08,1981-10-01,15.87,17.82,19.04,19.08,18.9
65.0415,74.9664,13.1,1143,511750,23875,1176.0,18409,11425,6984,10358.0,431.3,1736.1,1850.9,40.9,0.115472673,122.9,5.364792514,12.16,10.86,11.3,12.41,-1.15,-2.45,-2.01,0.07,0.08,0.91,3.08,10.63,13.31,1981-11-01,15.08,15.87,17.82,15.93,19.08
64.3745,73.5468,13.1,1171,551000,23656,1177.4,18223,11275,6948,10332.2,436.7,1755.5,1865.6,41.9,0.114957384,123.8,5.355411955,12.12,10.85,11.52,12.85,-0.25,-1.52,-0.85,1.23,1.35,1.86,4.18,10.66,12.37,1981-12-01,13.31,15.08,15.87,14.7,15.93
63.1923,71.5518,13.4,1186,535200,23362,1171.6,18047,11159,6888,10329.8,442.7,1770.4,1875.4,43.2,0.115860829,117.3,5.677749361,13.09,12.28,12.83,14.32,-0.13,-0.94,-0.39,1.43,1.37,1.96,3.88,11.02,13.22,1982-01-01,12.37,13.31,15.08,15.72,14.7
64.9671,73.4248,14.1,1279,533750,23361,1173.1,17981,11100,6881,10351.1,441.9,1774.5,1873.8,41.3,0.115372138,114.5,5.84279476,14.53,13.48,13.61,14.73,-0.25,-1.3,-1.17,-0.24,-0.35,0.49,2.4,10.79,14.78,1982-02-01,13.22,12.37,13.31,18.52,15.72
64.6031,72.7311,14.1,1358,556500,23214,1175.0,17857,11014,6843,10356.7,442.7,1786.5,1886.5,39.2,0.115281442,110.8,6.064981949,13.8,12.68,12.77,13.95,-0.88,-2.0,-1.91,-0.7,-0.82,-0.1,2.14,10.85,14.68,1982-03-01,14.78,13.22,12.37,19.1,18.52
64.549,72.014,14.5,1501,587000,22996,1155.3,17683,10880,6803,10363.6,447.1,1803.9,1898.8,39.6,0.114834108,116.3,5.803955288,14.06,12.7,12.8,13.98,-0.88,-2.24,-2.14,-0.94,-1.07,-0.48,1.84,10.86,14.94,1982-04-01,14.68,14.78,13.22,19.04,19.1
64.5948,71.728,14.9,1617,583800,22884,1129.3,17588,10804,6784,10391.7,446.7,1815.4,1893.0,39.5,0.114595367,116.4,5.824742268,13.42,12.09,12.16,13.34,-1.03,-2.36,-2.29,-0.7,-0.83,-0.19,2.19,10.99,14.45,1982-05-01,14.94,14.68,14.78,17.82,19.04
65.0377,71.5368,15.7,1784,599500,22643,1107.0,17430,10682,6748,10397.6,447.5,1826.0,1882.5,39.6,0.114481938,109.7,6.207839562,13.96,12.47,12.7,14.07,-0.19,-1.68,-1.45,0.28,0.15,0.66,2.77,11.0,14.15,1982-06-01,14.45,14.94,14.68,15.87,17.82
65.2081,71.3197,15.4,1816,576000,22434,1078.7,17278,10579,6699,10405.8,448.0,1831.5,1878.5,40.0,0.11365815,109.4,6.237047532,12.94,11.35,11.88,13.24,0.35,-1.24,-0.71,1.48,1.36,2.02,4.21,11.08,12.59,1982-07-01,14.15,14.45,14.94,15.08,15.87
65.0223,70.5585,16.2,1866,629500,22268,1054.6,17160,10449,6711,10405.0,451.4,1845.2,1888.6,40.2,0.113067281,109.7,6.232151322,10.15,8.68,9.88,11.43,0.03,-1.44,-0.24,2.88,2.94,3.59,6.2,11.11,10.12,1982-08-01,12.59,14.15,14.45,13.31,15.08
65.0036,70.333,16.6,2018,660750,22146,1033.5,17074,10376,6698,10391.0,456.9,1858.4,1902.1,40.0,0.113212544,122.4,5.596405229,10.36,7.92,9.37,10.85,0.05,-2.39,-0.94,1.94,2.03,2.63,5.32,11.07,10.31,1982-09-01,10.12,12.59,14.15,12.37,13.31
65.0231,69.3689,17.2,2246,652400,21879,1010.6,16853,10172,6681,10379.0,464.5,1869.7,1905.9,40.6,0.112757543,132.7,5.167045968,9.2,7.71,8.29,9.32,-0.51,-2.0,-1.42,1.09,1.2,2.41,5.02,11.21,9.71,1982-10-01,10.31,10.12,12.59,13.22,12.37
64.911,68.9198,17.1,2338,594250,21736,991.2,16722,10067,6655,10363.3,471.5,1883.7,1922.1,41.2,0.112549537,138.1,4.969826213,8.69,8.07,8.34,9.16,-0.51,-1.13,-0.86,1.18,1.35,2.48,5.1,11.16,9.2,1982-11-01,9.71,10.31,10.12,14.78,13.22
64.0813,68.651,18.1,2564,523750,21688,974.2,16690,10046,6644,10371.4,474.8,1905.9,1950.8,41.9,0.112623743,139.4,4.928263989,8.51,7.94,8.16,8.91,-0.44,-1.01,-0.79,1.27,1.59,2.88,5.19,11.32,8.95,1982-12-01,9.2,9.71,10.31,14.68,14.78
65.4726,70.1756,19.4,2667,501000,21757,955.1,16705,10057,6648,10430.7,477.2,1959.4,2001.4,41.9,0.112780646,144.3,4.77015246,8.17,7.86,7.93,8.62,-0.51,-0.82,-0.75,1.35,1.78,3.11,5.26,11.3,8.68,1983-01-01,8.95,9.2,9.71,14.94,14.68
64.6406,70.0808,19.2,2716,488750,21676,929.6,16706,10062,6644,10439.8,484.3,1996.8,2037.6,39.8,0.112681603,146.8,4.698004087,8.34,8.11,8.23,8.92,-0.17,-0.4,-0.28,1.75,2.21,3.5,5.44,11.39,8.51,1983-02-01,8.68,8.95,9.2,14.45,14.94
64.9144,70.6911,19.4,2746,480250,21649,920.4,16711,10059,6652,10478.3,490.6,2015.2,2054.2,38.0,0.112833732,151.9,4.549045425,8.52,8.35,8.37,9.04,-0.25,-0.42,-0.4,1.31,1.74,2.96,4.84,11.38,8.77,1983-03-01,8.51,8.68,8.95,14.15,14.45
66.2484,71.5296,19.5,2710,496000,21729,906.5,16794,10125,6669,10509.0,493.2,2028.6,2053.2,38.7,0.112909566,157.7,4.38807863,8.53,8.21,8.3,8.98,-0.27,-0.59,-0.5,1.22,1.6,2.71,4.49,11.37,8.8,1983-04-01,8.77,8.51,8.68,12.59,14.15
66.4681,72.3293,20.5,2750,468000,21829,901.9,16885,10198,6687,10541.3,500.0,2043.1,2059.6,38.3,0.112375069,164.1,4.223034735,8.33,8.19,8.22,8.9,-0.3,-0.44,-0.41,1.4,1.75,2.83,4.46,11.31,8.63,1983-05-01,8.8,8.77,8.51,10.12,12.59
66.7138,72.8725,20.8,2885,444250,21949,899.0,16960,10248,6712,10590.3,504.0,2053.5,2065.9,38.4,0.112978455,166.4,4.170673077,9.0,8.79,8.89,9.66,0.02,-0.19,-0.09,1.65,1.87,2.76,4.39,11.32,8.98,1983-06-01,8.63,8.8,8.77,10.31,10.12
67.593,73.8752,21.2,2594,408000,22103,904.7,17059,10333,6726,10660.5,507.8,2064.8,2068.9,38.9,0.113161729,167.0,4.167664671,9.25,9.08,9.26,10.2,-0.12,-0.29,-0.11,1.84,2.01,2.78,4.02,11.32,9.37,1983-07-01,8.98,8.63,8.8,9.71,10.31
68.1937,74.4808,20.0,2530,435750,22207,902.7,17118,10378,6740,10693.2,510.5,2074.0,2071.9,38.7,0.114010632,162.4,4.298029557,9.54,9.34,9.51,10.53,-0.02,-0.22,-0.05,2.07,2.29,2.95,4.08,11.34,9.56,1983-08-01,9.37,8.98,8.63,9.2,9.71
69.0485,75.7976,20.2,2441,408750,22381,901.9,17255,10485,6770,10760.6,512.8,2083.2,2074.9,37.9,0.113781419,167.2,4.186602871,9.24,9.0,9.15,10.16,-0.21,-0.45,-0.3,1.98,2.2,2.92,4.1,11.39,9.45,1983-09-01,9.56,9.37,8.98,8.95,9.2
68.6487,76.5312,20.2,2277,402200,22546,913.4,17367,10575,6792,10803.2,517.2,2099.2,2082.5,38.1,0.113953079,167.7,4.192009541,8.99,8.64,8.83,9.81,-0.49,-0.84,-0.65,1.8,2.06,2.77,3.98,11.41,9.48,1983-10-01,9.45,9.56,9.37,8.68,8.95
68.7676,76.8517,19.7,2167,392500,22698,914.1,17479,10666,6813,10853.2,519.0,2112.3,2089.3,38.1,0.114371439,165.2,4.273607748,9.1,8.76,8.93,9.94,-0.24,-0.58,-0.41,2.07,2.35,3.07,4.27,11.4,9.34,1983-11-01,9.48,9.45,9.56,8.51,8.68
68.8527,76.9708,19.2,2061,368800,22803,917.1,17551,10727,6824,10903.1,521.4,2123.5,2094.2,38.9,0.114874747,164.4,4.312652068,9.53,9.0,9.17,10.11,0.06,-0.47,-0.3,2.07,2.36,3.1,4.28,11.44,9.47,1983-12-01,9.34,9.48,9.45,8.77,8.51
70.2245,78.2461,20.4,2040,351000,22942,919.9,17630,10789,6841,10980.8,525.1,2138.2,2094.2,40.1,0.115540227,166.4,4.278846154,9.2,8.9,9.01,9.9,-0.36,-0.66,-0.55,1.81,2.11,2.64,4.09,11.52,9.56,1984-01-01,9.47,9.34,9.48,8.8,8.77
70.0759,78.9769,19.0,1834,339250,23146,920.3,17728,10867,6861,11024.8,527.5,2158.2,2103.5,36.3,0.116752387,157.3,4.545454545,9.32,9.09,9.18,10.04,-0.27,-0.5,-0.41,1.95,2.25,2.49,4.0,11.45,9.59,1984-02-01,9.56,9.47,9.34,8.63,8.8
70.339,79.1923,19.1,1780,345800,23209,922.8,17806,10929,6877,11061.5,531.4,2175.2,2113.9,36.2,0.116400122,157.4,4.561626429,9.83,9.52,9.66,10.59,-0.08,-0.39,-0.25,2.11,2.41,2.66,4.08,11.5,9.91,1984-03-01,9.59,9.56,9.47,8.98,8.63
70.5129,79.4302,18.9,1764,369250,23305,922.3,17872,10980,6892,11105.5,535.0,2191.7,2121.7,37.1,0.116562537,157.6,4.583331218,10.18,9.69,9.84,10.9,-0.11,-0.6,-0.45,2.08,2.34,2.52,4.02,11.53,10.29,1984-04-01,9.91,9.59,9.56,9.37,8.98
70.2705,79.5019,18.8,1691,360250,23389,928.4,17916,11022,6894,11128.5,536.7,2204.1,2129.6,36.5,0.11848668,156.6,4.640274585,10.65,9.83,10.31,11.66,0.33,-0.49,-0.01,2.85,3.09,2.96,4.42,11.56,10.32,1984-05-01,10.29,9.91,9.59,9.56,9.37
70.261,79.6898,18.1,1576,361400,23497,933.6,17967,11074,6893,11186.8,540.2,2215.1,2136.1,37.5,0.119295509,153.1,4.774657087,10.98,9.87,10.51,12.08,-0.08,-1.19,-0.55,2.42,2.5,2.49,3.99,11.57,11.06,1984-06-01,10.32,10.29,9.91,9.45,9.56
