Date,seqForecast
2024-03-31,3.9812276
2024-04-30,3.7435744
2024-05-31,3.4945357
2024-06-30,3.2477946
2024-07-31,3.0074334
2024-08-31,2.7747896
2024-09-30,2.5498967
2024-10-31,2.3319478
2024-11-30,2.1222587
2024-12-31,1.9216163
2025-01-31,1.7287391
2025-02-28,1.5431526
